,Item,Reg_Price,Sale_Price,Size,Unit_Size,Image,Category,Subcategory
85,Pepperidge Farm Whole Grain Honey Wheat Bread,,$3.99 ,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/475YY.jpg,Bread_Bakery,Packaged_Bread
86,Stop & Shop Premium Bread Multigrain,$2.99 ,,24 oz pkg, | $0.12 / oz,./Bread_Bakery_Packaged_Bread_files/G3JTW.jpg,Bread_Bakery,Packaged_Bread
87,Nature's Promise Free from Bread White,$2.99 ,,24 oz pkg, | $0.12 / oz,./Bread_Bakery_Packaged_Bread_files/9WNH6.jpg,Bread_Bakery,Packaged_Bread
88,Arnold Country Bread Oat Bran,$4.29 ,,24 oz pkg, | $0.18 / oz,./Bread_Bakery_Packaged_Bread_files/A6GXG.jpg,Bread_Bakery,Packaged_Bread
89,Stop & Shop Marble Rye Bread,$2.99 ,,16 oz pkg, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/2T6H2.jpg,Bread_Bakery,Packaged_Bread
90,Fantini Scali Bread Italian with Sesame,$2.99 ,,16 oz bag, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/DZKN2.jpg,Bread_Bakery,Packaged_Bread
91,Stop & Shop Sandwich Bread Wheat,$2.69 ,,24 oz pkg, | $0.11 / oz,./Bread_Bakery_Packaged_Bread_files/7K7VI.jpg,Bread_Bakery,Packaged_Bread
92,Pepperidge Farm Bread White Sandwich Calcium Enriched,$3.79 ,,16 oz pkg, | $0.24 / oz,./Bread_Bakery_Packaged_Bread_files/FZDUO.jpg,Bread_Bakery,Packaged_Bread
93,Nature's Promise Free from Bread Multigrain,$2.99 ,,24 oz pkg, | $0.12 / oz,./Bread_Bakery_Packaged_Bread_files/9UUYA.jpg,Bread_Bakery,Packaged_Bread
94,Pepperidge Farm Light Style Bread Oatmeal,$4.29 ,,16 oz pkg, | $0.27 / oz,./Bread_Bakery_Packaged_Bread_files/NMYAM.jpg,Bread_Bakery,Packaged_Bread
95,Pepperidge Farm Bread White Original,$3.79 ,,16 oz pkg, | $0.24 / oz,./Bread_Bakery_Packaged_Bread_files/I5W8A.jpg,Bread_Bakery,Packaged_Bread
96,Fiber One 100 Calorie Bread Honey Whole Wheat,$2.99 ,,16 oz pkg, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/B5OVC.jpg,Bread_Bakery,Packaged_Bread
97,Stop & Shop Bread Italian Sliced,$2.69 ,,16 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/0BI1G.jpg,Bread_Bakery,Packaged_Bread
98,Vermont Bread Company Bread Soft Whole Wheat,$2.99 ,,24 oz bag, | $0.12 / oz,./Bread_Bakery_Packaged_Bread_files/VDJXC.jpg,Bread_Bakery,Packaged_Bread
99,Fiber One Bread Multigrain,$2.99 ,,16 oz pkg, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/CJ0MT.jpg,Bread_Bakery,Packaged_Bread
100,Panera Bread at Home Honey Wheat,$3.49 ,,20 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/54XVL.jpg,Bread_Bakery,Packaged_Bread
101,Food For Life Ezekiel 4:9 Bread Sprouted Grain Flourless Organic,$5.49 ,,24 oz pkg, | $0.23 / oz,./Bread_Bakery_Packaged_Bread_files/STTJS.jpg,Bread_Bakery,Packaged_Bread
102,Freihofer's Bread Country White,$3.49 ,,24 oz pkg, | $0.15 / oz,./Bread_Bakery_Packaged_Bread_files/Y1WYY.jpg,Bread_Bakery,Packaged_Bread
103,Thomas' Swirl Bread Cinnamon Raisin,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/JQOTL.jpg,Bread_Bakery,Packaged_Bread
104,Pepperidge Farm Swirl Bread Brown Sugar,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/GT060.jpg,Bread_Bakery,Packaged_Bread
105,Stop & Shop Bread Hearty Oatmeal,$2.99 ,,24 oz pkg, | $0.12 / oz,./Bread_Bakery_Packaged_Bread_files/B2O38.jpg,Bread_Bakery,Packaged_Bread
106,Stop & Shop Bread Honey Wheat,$1.99 ,,20 oz pkg, | $0.10 / oz,./Bread_Bakery_Packaged_Bread_files/45V27.jpg,Bread_Bakery,Packaged_Bread
